 239 ; 3/4 рубля-5 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; VF+ ; 25 ; Sky2 ; 2042 
 240 ; 20 копеек ; 1839 ; СПБ НГ ; Ag ; XF ; 11 ; SАП ; 2200 
 241 ; 3/4 рубля-5 злотых ; 1840 ; MW Рус.-Пол. ; Ag ; VF+ ; 8 ; Sky2 ; 2042 
 242 ; 25 копеек ; 1840 ; СПБ НГ ; Ag ; XF ; 12 ; Участник № 6 ; 2800 
 243 ; 5 копеек ; 1840 ; СПБ НГ ; Ag ; XF+ ; 37 ; Участник № 30 ; 4200 
 244 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 25 ; Участник № 133 ; 1900 
 245 ; 5 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 20 ; Участник № 133 ; 5200 
 246 ; 3 копейки ; 1840 ; ЕМ ; Cu ; VF-XF ; 13 ; Участник № 51 ; 4800 
 247 ; Копейка ; 1840 ; ЕМ ; Cu ; AU ; 44 ; Участник № 18 ; 8000 
 248 ; 1/2 копейки ; 1840 ; СПМ ; Cu ; VF-XF ; 19 ; Lotus 99 ; 300 
 249 ; 1/4 копейки ; 1840 ; ЕМ ; Cu ; AU ; 35 ; Участник № 51 ; 6200 
 250 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF ; 23 ; Aleksey ; 4587 
 151 ; Полушка ; 1798 ; ЕМ ; Cu ; VF-XF ; 30 ; Участник № 9 ; 4200 
 152 ; Рубль ; 1799 ; СМ ФЦ ; Ag ; VF ; 25 ; Участник № 1068 ; 42000 
 153 ; Копейка ; 1799 ; ЕМ ; Cu ; VF-XF ; 2 ; Участник № 523 ; 320 
 154 ; Копейка (Ильин-4р) ; 1799 ; КМ ; Cu ; F-VF ; 49 ; Участник № 140 ; 3600 
 155 ; Копейка ; 1800 ; ЕМ ; Cu ; VF-XF ; 2 ; Участник № 523 ; 320 
 156 ; 5 копеек ; 1801 ; СМ АИ ; Ag ; VF-XF ; 29 ; Участник № 133 ; 17000 
 157 ; 5 копеек ; 1801 ; СМ АИ ; Ag ; VF-XF ; 33 ; Участник № 146 ; 17000 
 158 ; 10 копеек ; 1802 ; СПБ АИ ; Ag ; VF ; 28 ; Sky2 ; 10002 
 159 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF ; 42 ; Участник № 30 ; 2900 
 160 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF- ; 5 ; o.k. ; 1200 
 161 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF ; 35 ; Участник № 133 ; 2700 
 162 ; Рубль ; 1803 ; СПБ АИ ; Ag ; XF+ ; 65 ; Участник № 30 ; 68000 
 163 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 23 ; батя ; 2001 
 164 ; 5 копеек (Ильин-3р) ; 1803 ; ЕМ ; Cu ; VF+ ; 54 ; Участник № 30 ; 32000 
 165 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF+ ; 9 ; Участник № 30 ; 50000 
 166 ; Полтина (Петров-3р, Ильин-3р) ; 1804 ; СПБ ФГ ; Ag ; VF- ; 19 ; boroda ; 24174 
 167 ; Полуполтинник ; 1804 ; СПБ ФГ ; Ag ; VF ; 30 ; boroda ; 22667 
 168 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 9 ; Участник № 66 ; 850 
 169 ; Бисти ; 1805 ; Грузия ; Cu ; VF- ; 17 ; Участник № 410 ; 9000 
 170 ; 5 копеек ; 1807 ; ЕМ ; Cu ; XF+ ; 38 ; Участник № 30 ; 7500 
 171 ; 5 копеек ; 1808 ; ЕМ ; Cu ; VF+ ; 23 ; overshtag ; 3572 
 172 ; Рубль ; 1809 ; СПБ МК ; Ag ; XF+ ; 28 ; Участник № 1177 ; 46000 
 173 ; Рубль (Петров-6р, Ильин-5р, редкий) ; 1810 ; СПБ ФГ ; Ag ; F-VF ; 31 ; Участник № 54 ; 32000 
 174 ; Полуполтинник (Петров-2р) ; 1810 ; СПБ ФГ ; Ag ; VF ; 23 ; hummer ; 15302 
 175 ; 10 копеек (Петров-1р) ; 1810 ; СПБ ФГ ; Ag ; VF ; 18 ; ААФ ; 12750 
 176 ; 5 копеек (Петров-7р, Ильин-5р) ; 1810 ; КМ ; Cu ; VF- ; 40 ; Участник № 746 ; 7500 
 177 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF+ ; 9 ; pmaster ; 408 
 178 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF+ ; 21 ; Участник № 1204 ; 28000 
 179 ; Деньга ; 1812 ; ИМ ПС ; Cu ; VF-XF ; 24 ; Участник № 1204 ; 4000 
 180 ; 5 копеек ; 1813 ; СПБ ПС ; Ag ; XF ; 30 ; Участник № 567 ; 550 
 181 ; Копейка (Петров-10р, Ильин-8р) ; 1813 ; ЕМ НМ ; Cu ; F+ ; 10 ; TDN ; 2652 
 182 ; Полтина ; 1814 ; СПБ МФ ; Ag ; VF-XF ; 43 ; Участник № 18 ; 11000 
 183 ; 2 копейки (Ильин-3р) ; 1814 ; ИМ ПС ; Cu ; VF ; 41 ; dimon46 ; 3572 
 184 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; XF+ ; 21 ; hugo ; 5000 
 185 ; Рубль ; 1816 ; СПБ ПС ; Ag ; VF+ ; 19 ; Участник № 62 ; 2600 
 186 ; 10 копеек ; 1817 ; СПБ ПС ; Ag ; VF+ ; 18 ; Участник № 54 ; 2400 
 187 ; 5 злотых ; 1817 ; IB Польша ; Ag ; VF ; 49 ; SАП ; 8772 
 188 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 28 ; Участник № 6 ; 14000 
 189 ; 1 злотый ; 1818 ; IB Польша ; Ag ; VF+ ; 19 ; SАП ; 5315 
 190 ; Деньга ; 1818 ; ЕМ НМ ; Cu ; XF+ ; 17 ; Участник № 523 ; 3000 
 191 ; Копейка ; 1819 ; КМ АД ; Cu ; XF- ; 15 ; Участник № 9 ; 650 
 192 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; VF-XF ; 3 ; ЛОШАРИК ; 340 
 193 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; VF-XF ; 21 ; hugo ; 2742 
 194 ; Рубль ; 1822 ; СПБ ПД ; Ag ; AU ; 23 ; Участник № 1204 ; 32000 
 195 ; 20 копеек ; 1822 ; СПБ ПД ; Ag ; XF+ ; 25 ; Участник № 30 ; 5500 
