 243 ; Копейка ; 1858 ; ВМ Венз.уже ; Cu ; VF+ ; 22 ; Участник № 132 ; 2600 
 244 ; Полушка ; 1858 ; ЕМ ; Cu ; VF-XF ; 5 ; sergfokin ; 572 
 245 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF- ; 25 ; schuwaloff ; 5500 
 246 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 20 ; zerkalozemli ; 4592 
 247 ; 2 копейки ; 1859 ; ЕМ ; Cu ; XF+ ; 11 ; ksv11 ; 1838 
 248 ; Денежка ; 1859 ; ЕМ ; Cu ; XF ; 42 ; Участник № 132 ; 1700 
 249 ; Полушка (Ильин-1р) ; 1859 ; ЕМ ; Cu ; XF+ ; 17 ; лопух ; 1500 
 250 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 10 ; ksv11 ; 1530 
 151 ; 10 копеек ; 1838 ; ЕМ НА ; Cu ; VF-XF ; 15 ; Участник № 168 ; 3000 
 152 ; 5 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 38 ; S.r.l. ; 9180 
 153 ; 3 копейки ; 1840 ; ЕМ ; Cu ; XF- ; 38 ; S.r.l. ; 10141 
 154 ; 3 копейки ; 1840 ; ЕМ ; Cu ; VF+ ; 11 ; A.G. ; 3729 
 155 ; 3 копейки ; 1840 ; СПМ ; Cu ; XF ; 13 ; Участник № 30 ; 3800 
 156 ; 2 копейки ; 1840 ; ЕМ ; Cu ; XF- ; 41 ; Участник № 51 ; 7500 
 157 ; 2 копейки ; 1840 ; ЕМ ; Cu ; XF ; 17 ; S.r.l. ; 2400 
 158 ; 2 копейки ; 1840 ; ЕМ ; Cu ; XF- ; 16 ; Участник № 30 ; 2000 
 159 ; 2 копейки ; 1840 ; СПМ ; Cu ; XF ; 47 ; Участник № 1 ; 5400 
 160 ; Копейка ; 1840 ; ЕМ ; Cu ; XF ; 12 ; aae2006 ; 1134 
 161 ; Копейка ; 1840 ; СПМ ; Cu ; XF+ ; 20 ; Участник № 523 ; 2400 
 162 ; Копейка ; 1840 ; СМ ; Cu ; VF+ ; 7 ; Участник № 18 ; 3400 
 163 ; Копейка ; 1840 ; Новодел ; Cu ; AU ; 29 ; hummer ; 9500 
 164 ; 1/2 копейки. Буква "М" перевернута ; 1840 ; ЕМ ; Cu ; VF+ ; 26 ; Участник № 402 ; 8500 
 165 ; 3 гроша ; 1840 ; MW Рус.-Пол. ; Cu ; XF+ ; 34 ; Участник № 18 ; 4800 
 166 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+/AU ; 10 ; Участник № 1177 ; 8500 
 167 ; 3 копейки ; 1841 ; ЕМ ; Cu ; VF-XF ; 13 ; S.r.l. ; 3600 
 168 ; 2 копейки ; 1841 ; СПМ ; Cu ; VF+ ; 9 ; Участник № 9 ; 1600 
 169 ; Копейка ; 1841 ; СПМ ; Cu ; XF- ; 20 ; Участник № 523 ; 1500 
 170 ; Копейка ; 1841 ; СМ ; Cu ; VF+ ; 13 ; Участник № 1 ; 1600 
 171 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; XF- ; 9 ; Olimpia ; 600 
 172 ; 1/4 копейки ; 1841 ; СПМ ; Cu ; AU ; 13 ; Участник № 9 ; 1300 
 173 ; 2 копейки ; 1842 ; ЕМ ; Cu ; VF+ ; 11 ; 59 ; 750 
 174 ; 2 копейки ; 1842 ; СПМ ; Cu ; XF+ ; 27 ; vvt ; 10076 
