 245 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; Unc/AU ; 21 ; Участник № 528 ; 8000 
 246 ; Рубль ; 1846 ; MW ; Ag ; VF-XF ; 15 ; toto ; 4306 
 247 ; Рубль ; 1847 ; MW ; Ag ; VF-XF ; 17 ; нафаня ; 6428 
 248 ; Рубль ; 1847 ; MW ; Ag ; XF ; 5 ; Участник № 1168 ; 10000 
 249 ; 5 копеек ; 1847 ; СПБ ПА ; Ag ; Unc/AU ; 11 ; Участник № 1204 ; 5000 
 250 ; Полтина ; 1849 ; СПБ ПА ; Ag ; XF- ; 25 ; 462 ; 4182 
 151 ; 5 копеек ; 1790 ; КМ ; Cu ; XF+ ; 69 ; Участник № 9 ; 6500 
 152 ; Полушка ; 1790 ; ЕМ ; Cu ; XF+ ; 5 ; kol ; 3570 
 153 ; 5 копеек ; 1791 ; АМ ; Cu ; XF+ ; 10 ; клотик 2 ; 2400 
 154 ; Полуполтинник ; 1792 ; СПБ ЯА ; Ag ; VF-XF ; 39 ; Участник № 51 ; 6200 
 155 ; 5 копеек ; 1792 ; АМ ; Cu ; VF-XF ; 17 ; Участник № 1462 ; 1200 
 156 ; 5 копеек ; 1792 ; АМ ; Cu ; XF ; 13 ; клотик 2 ; 3060 
 157 ; 5 копеек ; 1793 ; ЕМ ; Cu ; XF+ ; 7 ; Участник № 1462 ; 1100 
 158 ; Денга (Ильин-1р) ; 1794 ; КМ ; Cu ; VF ; 13 ; нумизмат ; 1900 
 159 ; 5 копеек. М-68г ; 1795 ; ЕМ ; Cu ; VF-XF ; 10 ; Участник № 51 ; 4800 
 160 ; Полушка (Петров-3р, Ильин-3р) ; 1797 ; КМ ; Cu ; VF+ ; 46 ; kol ; 6500 
 161 ; Рубль ; 1798 ; СМ МБ ; Ag ; XF+ ; 31 ; Участник № 51 ; 90000 
 162 ; 10 копеек ; 1798 ; СП  ОМ ; Ag ; AU ; 38 ; Участник № 1168 ; 32000 
 163 ; 2 копейки ; 1798 ; КМ ; Cu ; VF+ ; 11 ; кабан ; 1051 
 164 ; 2 копейки ; 1798 ; ЕМ ; Cu ; XF ; 13 ; Участник № 523 ; 2800 
 165 ; 2 копейки ; 1798 ; АМ ; Cu ; VF+ ; 7 ; Участник № 222 ; 700 
 166 ; Талер ; 1798 ; для княжества йевер ;  ; VF-XF ; 36 ; Участник № 51 ; 48000 
 167 ; 1/2 талера ; 1798 ; для княжества йевер ;  ; XF- ; 27 ; Глол ; 52020 
 168 ; Рубль ; 1800 ; СМ ОМ ; Ag ; XF+ ; 24 ; Участник № 51 ; 62000 
 169 ; 2 копейки ; 1800 ; ЕМ ; Cu ; XF- ; 9 ; Участник № 9 ; 1200 
 170 ; Копейка ; 1800 ; ЕМ ; Cu ; Unc/AU ; 15 ; Участник № 51 ; 16000 
 171 ; 2 копейки ; 1801 ; ЕМ ; Cu ; VF-XF ; 25 ; Участник № 523 ; 2200 
 172 ; 5 копеек (Петров-2р, Ильин-1р) ; 1803 ; КМ ; Cu ; VF+ ; 17 ; смит ; 8772 
 173 ; 5 копеек (Ильин-3р) ; 1803 ; ЕМ ; Cu ; VF ; 24 ; Участник № 222 ; 4700 
 174 ; 10 копеек ; 1804 ; СПБ ФГ ; Ag ; VF- ; 35 ; ААФ ; 8772 
 175 ; 10 копеек ; 1804 ; СПБ ФГ ; Ag ; F-VF ; 15 ; ravs ; 5102 
 176 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF+ ; 7 ; Участник № 114 ; 2400 
 177 ; Рубль ; 1805 ; СПБ ФГ ; Ag ; XF- ; 29 ; Участник № 1177 ; 22000 
 178 ; Деньга (Ильин-1р) ; 1805 ; ЕМ ; Cu ; VF ; 19 ; кабан ; 13827 
 179 ; 5 копеек (Петров-2,5р, Ильин-2р) ; 1806 ; КМ ; Cu ; VF ; 7 ; кабан ; 4774 
 180 ; Двойной абаз ; 1808 ; АК Грузия ; Ag ; VF-XF ; 9 ; pa3ot ; 6120 
 181 ; 5 копеек ; 1810 ; ЕМ ; Cu ; VF-XF ; 16 ; Участник № 9 ; 3800 
