 19 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 48 ; Продано в зале ; 28000 
 20 ; Рубль ; 1732 ;  ; Ag ; XF- ; 26 ; scaevola ; 21420 
 21 ; Рубль ; 1739 ;  ; Ag ; VF-XF ; 23 ; leo 2 ; 22000 
 22 ; Рубль ; 1749 ; ММД ; Ag ; VF-XF ; 17 ; нумизмат ; 22338 
 23 ; Рубль ; 1755 ; СПБ IM BS ; Ag ; XF ; 17 ; Продано в зале ; 44000 
 24 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; VF-XF ; 19 ; Продано в зале ; 26000 
 25 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; VF-XF ; 23 ; sd555 ; 14000 
 26 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF- ; 16 ; Продано в зале ; 16000 
 27 ; Рубль ; 1785 ; СПБ ЯА TI ; Ag ; XF- ; 24 ; leo 2 ; 16000 
 28 ; Рубль ; 1797 ; СМ ФЦ ; Ag ; XF/XF+ ; 65 ; Продано в зале ; 360000 
 29 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF+/XF ; 17 ; Продано в зале ; 12000 
 30 ; Рубль ; 1874 ; СПБ HI ; Ag ; VF-XF ; 32 ; 16840 ; 32253 
 31 ; Рубль ; 1876 ; СПБ HI ; Ag ; XF- ; 31 ; 575/575 ; 14000 
 32 ; Рубль ; 1882 ; СПБ НФ ; Ag ; XF- ; 22 ; digh ; 14688 
 33 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF/AU ; 30 ; Продано в зале ; 24000 
 34 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; AU ; 19 ; Продано в зале ; 36000 
 35 ; Рубль ; 1897 ; ( ** ) ; Ag ; AU ; 44 ; zorrosha ; 16000 
 36 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF/AU ; 19 ; Продано в зале ; 12000 
 37 ; Рубль ; 1908 ; (ЭБ) ; Ag ; XF- ; 34 ; Продано в зале ; 46000 
 38 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF+ ; 36 ; Eilenau ; 70000 
 39 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 9 ; sdfg ; 15300 
 40 ; Рубль ; 1915 ; (ВС) ; Ag ; AU ; 21 ; 462 ; 24000 
 41 ; Полтина ; 1724 ;  ; Ag ; VF-XF ; 32 ; 4758 ; 77520 
 42 ; Полтина ; 1725 ;  ; Ag ; VF-XF ; 48 ; Продано в зале ; 120000 
 43 ; Полтина ; 1733 ;  ; Ag ; XF+ ; 49 ; Продано в зале ; 115000 
 44 ; Полтина ; 1756 ; СПБ IM BS ; Ag ; VF+ ; 33 ; картуш ; 48711 
 45 ; Полтина (Петров-3р) ; 1762 ; ММД ДМ ; Ag ; VF ; 18 ; картуш ; 14000 
 46 ; Полтина ; 1774 ; СПБ ФЛ ; Ag ; VF+ ; 32 ; картуш ; 50874 
 47 ; Полтина ; 1862 ; СПБ МИ ; Ag ; VF-XF ; 52 ; Продано в зале ; 47000 
 48 ; Полтина ; 1872 ; СПБ HI ; Ag ; AU/XF ; 21 ; Isay ; 78642 
 49 ; Полтина ; 1880 ; СПБ НФ ; Ag ; AU ; 32 ; Продано в зале ; 16000 
 50 ; Полтина ; 1894 ; (АГ) ; Ag ; AU ; 31 ; koll ; 25656 
