 163 ; 10 копеек (Ильин-3р) ; 1819 ; СПБ ПС ; Ag ; VF+ ; 39 ; Участник № 30 ; 14000 
 164 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; VF-XF ; 22 ; 61К ; 2000 
 165 ; 20 копеек ; 1822 ; СПБ ПД ; Ag ; XF+ ; 26 ; finger ; 4800 
 166 ; 2 копейки ; 1822 ; КМ АМ ; Cu ; XF ; 13 ; AVA01 ; 5541 
 167 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 18 ; 61К ; 4000 
 168 ; Полтина (Ильин-3р) ; 1824 ; СПБ ПД ; Ag ; VF+ ; 39 ; abakan ; 4592 
 169 ; 10 копеек ; 1825 ; СПБ ПД ; Ag ; XF ; 35 ; AVA01 ; 8500 
 170 ; 10 копеек (Петров-4р, Ильин-4р) ; 1825 ; СПБ НГ ; Ag ; VF ; 19 ; dimon46 ; 7000 
 171 ; Рубль (Петров-2,5р) ; 1826 ; СПБ НГ ; Ag ; VF+ ; 56 ; Gatchina ; 14254 
 172 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF+/XF- ; 13 ; 4758 ; 1532 
 173 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; VF+ ; 7 ; 4758 ; 1532 
 174 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF+ ; 23 ; ААФ ; 6001 
 175 ; Деньга ; 1827 ; ЕМ ИК ; Cu ; XF+ ; 40 ; vid ; 12528 
 176 ; Полтина ; 1828 ; СПБ НГ ; Ag ; VF ; 14 ; ААФ ; 5500 
 177 ; Полтина ; 1829 ; СПБ НГ ; Ag ; VF+ ; 17 ; finger ; 10000 
 178 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 17 ; sas ; 8774 
 179 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF+ ; 24 ; Участник № 62 ; 21000 
 180 ; Рубль ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 38 ; Kolya-kms ; 14282 
 181 ; 20 копеек ; 1830 ; СПБ НГ ; Ag ; VF+ ; 14 ; Alexdav ; 3400 
 182 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; XF+ ; 25 ; Участник № 147 ; 9500 
 183 ; 5 копеек ; 1831 ; СПБ НГ ; Ag ; XF ; 26 ; HSS ; 9066 
 184 ; 5 копеек (Петров-2р) ; 1831 ; ЕМ ; Cu ; VF- ; 7 ; evgenijzhuk ; 1532 
 185 ; 25 копеек ; 1832 ; СПБ НГ ; Ag ; VF+ ; 19 ; igors1969 ; 4590 
 186 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; VF+ ; 9 ; finger ; 1500 
 187 ; 10 копеек ; 1833 ; СПБ НГ ; Ag ; XF ; 28 ; HSS ; 13456 
 188 ; 3 рубля ; 1834 ; СПБ ; Pt ; VF+ ; 13 ; luda ; 67320 
 189 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF ; 38 ; лиса ; 10155 
 190 ; 3/4 рубля-5 злотых (Ильин-3р) ; 1834 ; MW Рус.-Пол. ; Ag ; VF+ ; 11 ; Маша-растеряша ; 4082 
 191 ; 5 копеек ; 1834 ; СПБ НГ ; Ag ; XF+ ; 21 ; Участник № 4 ; 4200 
 192 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; XF/XF- ; 19 ; HSS ; 20340 
 193 ; 20 копеек ; 1835 ; СПБ НГ ; Ag ; VF+ ; 12 ; Участник № 42 ; 3400 
 194 ; 1,5 рубля-10 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; VF-XF ; 17 ; Mmm ; 12852 
 195 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF- ; 23 ; Участник № 147 ; 9500 
 196 ; 30 копеек-2 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; VF+ ; 3 ; ААФ ; 918 
 197 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 32 ; HSS ; 12239 
 198 ; 20 копеек ; 1838 ; СПБ НГ ; Ag ; XF+ ; 40 ; HSS ; 8000 
 199 ; 10 копеек ; 1838 ; ЕМ НА ; Cu ; VF ; 10 ; Alexdav ; 3800 
 200 ; 5 рублей ; 1839 ; СПБ АЧ ; Au ; VF-XF ; 7 ; Маша-растеряша ; 22440 
 101 ; Рубль ; 1779 ; "Для дворцового обихода" ; Au ; XF+ ; 29 ; Волк ; 44430 
 102 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 17 ; набак ; 9333 
 103 ; Денга (Петров-2,5р) ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 16 ; hugo ; 7480 
