 163 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; XF- ; 7 ; Участник № 55 ; 950 
 164 ; Копейка ; 1821 ; ЕМ НМ ; Cu ; XF ; 31 ; Участник № 9 ; 4000 
 165 ; Рубль ; 1822 ; СПБ ПД ; Ag ; XF- ; 19 ; Участник № 62 ; 4800 
 166 ; 5 копеек ; 1822 ; СПБ ПД ; Ag ; XF- ; 18 ; Участник № 30 ; 2600 
 167 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 10 ; Участник № 133 ; 1600 
 168 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; AU ; 33 ; Участник № 1177 ; 11500 
 169 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; VF-XF ; 38 ; Участник № 62 ; 1100 
 170 ; Копейка ; 1824 ; ЕМ ПГ ; Cu ; XF ; 11 ; Участник № 9 ; 2000 
 171 ; Рубль ; 1825 ; СПБ ПД ; Ag ; XF+ ; 52 ; Участник № 1177 ; 15000 
 172 ; Рубль ; 1826 ; СПБ НГ ; Ag ; VF+ ; 80 ; Глол ; 38000 
 173 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF+ ; 45 ; Участник № 42 ; 10000 
 174 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 41 ; Ghb ; 5559 
 175 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; AU ; 57 ; Участник № 1280 ; 12000 
 176 ; 10 копеек ; 1827 ; СПБ НГ ; Ag ; AU ; 16 ; Глол ; 18360 
 177 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; AU ; 35 ; 1088 ; 10000 
 178 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; AU ; 17 ; Участник № 9 ; 3400 
 179 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; XF+/XF ; 28 ; Участник № 1280 ; 8000 
 180 ; Копейка ; 1829 ; ЕМ ИК ; Cu ; XF+ ; 9 ; Глол ; 2800 
 181 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF ; 42 ; Участник № 168 ; 12000 
