 34 ; Полтина ; 1896 ; ( * ) ; Ag ; XF ; 16 ; Продано в зале ; 6400 
 35 ; 30 копеек-2 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; VF-XF ; 23 ; Zarik ; 1752 
 36 ; 30 копеек-2 злотых ; 1838 ; MW Рус.-Пол. ; Ag ; VF-XF ; 53 ; Продано в зале ; 1800 
 37 ; 30 копеек-2 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; VF-XF ; 22 ; Sky2 ; 1977 
 38 ; 25 копеек ; 1835 ; СПБ НГ ; Ag ; VF-XF ; 31 ; Sky2 ; 4341 
 39 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; XF- ; 42 ; Sky2 ; 5224 
 40 ; 20 копеек ; 1767 ; ММД ; Ag ; VF+ ; 55 ; Продано в зале ; 4400 
 41 ; 20 копеек ; 1814 ; СПБ МФ ; Ag ; XF- ; 50 ; нумизмат ; 7142 
 42 ; 20 копеек (Ильин - 3 руб) ; 1826 ; СПБ НГ ; Ag ; VF ; 25 ; Продано в зале ; 7000 
 43 ; 20 копеек (Ильин - 6 руб) ; 1831 ; СПБ НГ ; Ag ; VF ; 28 ; DAndy-2003 ; 9000 
 44 ; 20 копеек ; 1837 ; СПБ НГ ; Ag ; VF-XF ; 10 ; defre ; 2040 
 45 ; 20 копеек ; 1840 ; СПБ НГ ; Ag ; XF ; 30 ; 25 ; 10199 
 46 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU ; 21 ; Продано в зале ; 3800 
 47 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 11 ; Продано в зале ; 1600 
 48 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 19 ; регион ; 3175 
 49 ; 20 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 19 ; 25 ; 2823 
 50 ; 20 копеек. Гурт рубчатый ; 1874 ; СПБ HI ; Ag ; AU ; 14 ; Продано в зале ; 3200 
 51 ; 20 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 23 ; tisa66 ; 8160 
 52 ; 15 копеек ; 1866 ; СПБ HI ; Ag ; AU ; 40 ; Продано в зале ; 5400 
