 6415 ; Капсулы для монет – 39 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344016 ;  ;  ;  ;  ; 18 ; Shurmon ; 159 
 6416 ; Капсулы с лупой MAGNICAPS для монет - 18 мм. Упаковка 2 шт. Leuchtturm, #346140 ;  ;  ;  ;  ; 52 ; flutter ; 293 
 6417 ; Капсулы для монет – 21,5 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 3 ; лампедуза ; 138 
 6418 ; Капсулы для монет – 22,5 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 3 ; flutter ; 159 
 6419 ; Капсулы для монет – 24,5 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 5 ; лампедуза ; 144 
 6420 ; Капсулы для монет – 25 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 5 ; Плотник ; 159 
 6421 ; Капсулы для монет – 26 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 11 ; flutter ; 199 
 6422 ; Капсулы для монет – 27 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 15 ; лампедуза ; 155 
 6423 ; Капсулы CAPS 28 для монет – 28 мм, упаковка 10 шт. Leuchtturm, #312236 ;  ;  ;  ;  ; 3 ; лампедуза ; 144 
 6424 ; Капсулы для монет – 29 мм, упаковка 10 шт. Leuchtturm. ;  ;  ;  ;  ; 16 ; Плотник ; 159 
 6425 ; Капсулы для монет – 30 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 3 ; лампедуза ; 144 
 6426 ; Капсулы для монет – 32,5 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 7 ; Ravak_1981 ; 141 
 6427 ; Капсулы для монет – 36 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 14 ; assesor ; 181 
