 6316 ; Почтовая карточка со спецгашением. Картмаксимум ; 1981 ;  ;  ;  ; 5 ; nikki999 ; 10 
 6317 ; Почтовая карточка. "Привет из Рогачева!" ;  ;  ;  ;  ; 25 ; vlad77 ; 470 
 6318 ; Почтовая карточка. "Хлеба есть край, так и под елью рай!" ;  ;  ;  ;  ; 12 ; nikolas13 ; 206 
 6319 ; Почтовая карточка. "Выбирай жену не в хороводе, а в огороде!" ;  ;  ;  ;  ; 25 ; vlad77 ; 278 
 6320 ; Почтовая карточка.  "Знаем тех, кто громко поёт, а не знаем тех , кто горьки слёзы льёт!" ;  ;  ;  ;  ; 7 ; nikolas13 ; 228 
 6321 ; Почтовая карточка ;  ;  ;  ;  ; 17 ; SS2008 ; 101 
 6322 ; Почтовая карточка ;  ;  ;  ;  ; 10 ; doc2 ; 153 
 6323 ; Почтовая карточка ;  ;  ;  ;  ; 13 ; SS2008 ; 101 
 6324 ; Буклет с неразрезанными открытками (8 штук) Берлин ;  ;  ;  ;  ; 13 ; nikolas13 ; 30 
 6325 ; Лот открыток в буклете "Московский зоопарк" (16 штук) ; 1990 ;  ;  ;  ; 21 ; лампедуза ; 112 
