 93 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; XF- ; 17 ; Продано в зале ; 13000 
 94 ; Полуполтинник ; 1768 ; ММД ЕI ; Ag ; VF+/VF-XF ; 13 ; Sky2 ; 10004 
 95 ; Полуполтинник ; 1799 ; СМ ФЦ ; Ag ; VF+ ; 49 ; Салют ; 38644 
 96 ; 25 копеек ; 1830 ; СПБ НГ ; Ag ; AU/XF+ ; 61 ; Салют ; 29189 
 97 ; 25 копеек ; 1844 ; СПБ КБ ; Ag ; VF+ ; 17 ; 16 ; 17806 
 98 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 17 ; Продано в зале ; 7000 
 99 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 26 ; Продано в зале ; 6500 
 100 ; 25 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 19 ; Продано в зале ; 13000 
 1 ; 15 рублей. М-12,86 г ; 1897 ; (АГ) За обрез шеи заходит "ОСС" ; Au ; XF+ ; 28 ; кантемир ; 36811 
 2 ; 7руб.50 коп. М-6,41 г ; 1897 ; (АГ) ; Au ; XF ; 25 ; кантемир ; 33000 
 3 ; 7руб.50 коп. М-6,42 г ; 1897 ; (АГ) ; Au ; XF- ; 33 ; 111111 ; 33055 
 4 ; 7руб.50 коп. М- 6,42 г ; 1897 ; (АГ) ; Au ; XF- ; 22 ; кантемир ; 33000 
 5 ; 7руб.50 коп. М- 6,42 г ; 1897 ; (АГ) ; Au ; XF ; 22 ; кантемир ; 33000 
 6 ; 5 рублей. М-6,48г ; 1831 ; СПБ ПД ; Au ; VF-XF ; 28 ; Продано в зале ; 62000 
 7 ; 5 рублей. М-6,42 г ; 1840 ; СПБ АЧ ; Au ; XF+ ; 26 ; хаус ; 50999 
 8 ; 5 рублей. М-6,42г ; 1889 ; (АГ) Борода короче ; Au ; XF ; 42 ; Victory-2001 ; 35700 
 9 ; Рубль. М-1,6г ; 1756 ;  ; Au ; XF ; 38 ; rogogor ; 46000 
 10 ; Рубль. М-1,58г ; 1756 ;  ; Au ; XF- ; 49 ; нумизмат ; 56100 
 11 ; Рубль. М-1,2г. Деформация ; 1779 ; "Для дворцового обихода" ; Au ; VF-XF ; 30 ; нумизмат ; 29478 
 12 ; Полтина. М-0,6г ; 1777 ; "Для дворцового обихода" ; Au ; XF- ; 22 ; masterovoi ; 29466 
