 94 ; Рубль ; 1834 ; "На открытие Александровской к ; Ag ; XF ; 21 ; Участник № 6 ; 58000 
 95 ; 5 копеек ; 1834 ; СПБ НГ ; Ag ; AU ; 40 ; Участник № 30 ; 9500 
 96 ; 30 копеек-2 злотых ; 1835 ; MW Рус.-Пол. ; Ag ; VF-XF ; 64 ; Зубков ; 3000 
 97 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF+ ; 29 ; AVA01 ; 24000 
 98 ; 3/4 рубля-5 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; XF ; 30 ; ВВС ; 4614 
 99 ; 5 копеек ; 1836 ; ЕМ ФХ ; Cu ; VF-XF ; 30 ; inxs ; 2552 
 100 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF+ ; 38 ; AVA01 ; 24000 
 1 ; Сребреник. Отверстие ; 980-1015 ; Владимир Святославович(Святой) ; Ag ; F ; 25 ; mishelev ; 26064 
 2 ; Копейка ; 1707 ; МД ; Cu ; VF ; 40 ; Участник № 1205 ; 1200 
 3 ; Денга ; 1713 ;  ; Cu ; VF ; 45 ; overshtag ; 1300 
 4 ; Полтина (Петров-3р) ; 1723 ;  ; Ag ; VF ; 33 ; тнн ; 64260 
 5 ; Рубль (Петров-5р) ; 1724 ; ОК ; Ag ; VF+ ; 20 ; Участник № 462 ; 40000 
 6 ; Полтина. Короны без крестов ; 1725 ;  ; Ag ; F-VF ; 28 ; нумизмат ; 9953 
 7 ; Полтина. Короны с крестами ; 1725 ;  ; Ag ; VF- ; 24 ; dimon46 ; 7295 
 8 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF- ; 31 ; Участник № 1205 ; 4000 
 9 ; Копейка ; 1728 ;  ; Cu ; VF ; 16 ; dimon46 ; 3249 
 10 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF+ ; 37 ; Участник № 30 ; 2400 
 11 ; 2 копейки ; 1757 ; Гурт надп. Екатер. ; Cu ; F-VF ; 7 ; Участник № 523 ; 550 
 12 ; 2 копейки ; 1758 ; Гурт надп. Екатер. ; Cu ; VF+ ; 15 ; serge ; 1600 
 13 ; Полушка (Петров-2р, Ильин-1р) ; 1758 ;  ; Cu ; VF ; 10 ; Участник № 133 ; 1600 
 14 ; Рубль ; 1759 ; СПБ ЯI TI ; Ag ; VF+/XF- ; 22 ; aleks-2007 ; 24001 
 15 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; XF ; 48 ; Участник № 55 ; 16000 
 16 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; AU ; 25 ; Глол ; 45900 
 17 ; Гривенник ; 1767 ; ММД ; Ag ; VF- ; 66 ; нумизмат ; 4138 
 18 ; 20 копеек ; 1768 ; СПБ TI ; Ag ; VF+ ; 101 ; АЦТЕК ; 5100 
 19 ; Гривенник ; 1769 ; СПБ TI ; Ag ; VF+ ; 19 ; Участник № 62 ; 1400 
 20 ; 5 копеек ; 1769 ; КМ "Сибирь" ; Cu ; VF ; 21 ; кабан ; 3800 
 21 ; 5 копеек ; 1770 ; ЕМ ; Cu ; AU ; 111 ; Участник № 11 ; 6200 
 22 ; 2 копейки ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 5 ; Участник № 1205 ; 3400 
 23 ; Рубль ; 1772 ; СПБ АШ TI ; Ag ; XF ; 49 ; Участник № 1168 ; 26000 
 24 ; 5 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 51 ; кабан ; 4150 
 25 ; Полушка (Петров-8р, Ильин-5р) ; 1773 ; ЕМ ; Cu ; VF- ; 7 ; Олег33 ; 3400 
 26 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF+ ; 30 ; Участник № 51 ; 28000 
 27 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 27 ; Участник № 1205 ; 13000 
 28 ; 2 копейки ; 1775 ; ЕМ ; Cu ; VF+ ; 25 ; Basilio ; 5500 
 29 ; Полушка (Петров-5р, Ильин-3р) ; 1775 ; ЕМ ; Cu ; VF- ; 11 ; Олег33 ; 3000 
