 61 ; Рубль (Ильин-4р) ; 1767 ; ММД EI ; Ag ; F-VF ; 15 ; Продано в зале ; 9000 
 62 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; XF ; 11 ; Продано в зале ; 9500 
 63 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; VF-XF ; 41 ; Продано в зале ; 14000 
 64 ; Рубль ; 1768 ; СПБ СА TI ; Ag ; VF-XF ; 41 ; skar ; 13200 
 65 ; 5 копеек ; 1768 ; КМ "Сибирь" ; Cu ; VF ; 12 ; double ; 4082 
 66 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; VF-XF ; 10 ; denizen ; 12000 
 67 ; 15 копеек ; 1769 ; ММД ; Ag ; XF+ ; 40 ; rib1959 ; 9792 
 68 ; 15 копеек ; 1769 ; ММД ; Ag ; VF+ ; 35 ; Продано в зале ; 4700 
 69 ; Полушка ; 1770 ; ЕМ ; Cu ; VF+ ; 17 ; Продано в зале ; 850 
 70 ; 2 копейки ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; Продано в зале ; 2200 
 71 ; Пара-3 деньги ; 1771 ; S Валахия ; Cu ; VF ; 54 ; Продано в зале ; 36000 
 72 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; XF+ ; 37 ; Продано в зале ; 31000 
 73 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; XF- ; 26 ; Продано в зале ; 11000 
 74 ; Рубль ; 1773 ; СПБ ЯЧ TИ ; Ag ; XF+ ; 31 ; Продано в зале ; 17000 
 75 ; Денга ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 21 ; Продано в зале ; 3500 
 76 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF ; 27 ; Продано в зале ; 18000 
 77 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; VF-XF ; 24 ; Продано в зале ; 12000 
 78 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 19 ; ealiev ; 4284 
 79 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; XF ; 33 ; Продано в зале ; 29000 
 80 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 28 ; leo 2 ; 3000 
 81 ; 5 копеек. Шахин-Гирей. 5-й год правления ; 1191 (1777) ;  ; Cu ; VF ; 13 ; Продано в зале ; 11000 
 82 ; 1 копейка. Шахин-Гирей. 4 год правления ; 1191лх (1777) ;  ; Cu ; VF- ; 16 ; Продано в зале ; 1300 
 83 ; Копейка ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 52 ; Продано в зале ; 12000 
 84 ; 10 копеек (Петров-1р) ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 46 ; sail ; 7408 
 85 ; 2 копейки ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 21 ; Продано в зале ; 9000 
 86 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF- ; 62 ; Продано в зале ; 16000 
 87 ; 5 копеек ; 1782 ; КМ ; Cu ; VF+ ; 26 ; Продано в зале ; 1500 
 88 ; 15 копеек (Петров-1р) ; 1783 ; СПБ ; Ag ; XF/AU ; 26 ; Продано в зале ; 9500 
 89 ; Гривенник ; 1783 ; СПБ ; Ag ; AU ; 26 ; Продано в зале ; 5500 
 90 ; Гривенник ; 1784 ; СПБ ; Ag ; VF+ ; 11 ; Продано в зале ; 1900 
 91 ; Полуполтинник ; 1785 ; СПБ ЯА ; Ag ; VF+ ; 37 ; gors ; 6630 
 92 ; 20 копеек (Петров-1р) ; 1786 ; СПБ ; Ag ; XF/AU ; 44 ; Продано в зале ; 13000 
 93 ; 5 копеек (Петров-1р) ; 1788 ; ММ ; Cu ; VF+ ; 57 ; ANK ; 2200 
 94 ; 5 копеек ; 1788 ; КМ ; Cu ; XF- ; 21 ; dimon46 ; 3264 
 95 ; 2 копейки ; 1788 ; СПМ ; Cu ; VF ; 9 ; Продано в зале ; 550 
 96 ; Копейка ; 1789 ; ЕМ ; Cu ; VF+ ; 32 ; Продано в зале ; 850 
 97 ; 2 копейки ; 1790 ; ЕМ ; Cu ; XF- ; 40 ; Продано в зале ; 4000 
 98 ; Рубль ; 1792 ; СПБ ЯА TI ; Ag ; VF ; 27 ; Продано в зале ; 14000 
 99 ; 5 копеек ; 1792 ; АМ ; Cu ; VF+ ; 15 ; Продано в зале ; 1800 
 100 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 17 ; Продано в зале ; 3000 
 1 ; Севский чех. Деформация, обломан. М-0,70гр ; 1686 ;  ; Ag ; F ; 56 ; scaevola ; 11912 
 2 ; Алтын ; 1704 ; БК ; Ag ; VF+ ; 49 ; kaper ; 7650 
 3 ; Копейка ; 1715 ; МД ; Cu ; VF ; 15 ; Продано в зале ; 1500 
 4 ; Копейка (Петров-2р) ; 1718 ; L перевернута ; Ag ; VF-XF ; 70 ; 67 ; 45667 
 5 ; Рубль ; 1720 ;  ; Ag ; VF-XF ; 47 ; Продано в зале ; 66000 
 6 ; Рубль (Петров-3,5р) ; 1720 ; OK ; Ag ; VF+ ; 56 ; Продано в зале ; 78000 
 7 ; Рубль (Петров-3р) ; 1721 ; K ; Ag ; VF ; 25 ; Продано в зале ; 38000 
 8 ; Рубль ; 1724 ;  ; Ag ; VF+ ; 14 ; Продано в зале ; 42000 
 9 ; Рубль ; 1724 ; ОК ; Ag ; VF+ ; 39 ; 125346 ; 25576 
 10 ; Рубль (Петров-3р, Ильин-3р) ; 1725 ; СПБ ; Ag ; VF- ; 40 ; Продано в зале ; 26000 
 11 ; 5 копеек ; 1725 ; МД Дата снизу вверх ; Cu ; VF ; 28 ; Продано в зале ; 3300 
 12 ; Рубль ; 1726 ; СПБ ; Ag ; VF+ ; 37 ; VAG ; 26724 
 13 ; Рубль ; 1726 ;  ; Ag ; VF+ ; 35 ; долгово ; 46614 
 14 ; Полтина (Петров-4р, Ильин-3р) ; 1727 ; СПБ ; Ag ; F-VF ; 35 ; арбат ; 15867 
 15 ; Рубль ; 1727 ; СПБ ; Ag ; XF- ; 36 ; Продано в зале ; 40000 
 16 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 31 ; rib1959 ; 3200 
 17 ; Рубль ; 1728 ;  ; Ag ; XF+/XF ; 27 ; Продано в зале ; 68000 
 18 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 46 ; Продано в зале ; 52000 
 19 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 20 ; Продано в зале ; 38000 
 20 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 22 ; ВЭБ! ; 10200 
 21 ; Копейка ; 1728 ;  ; Cu ; VF ; 12 ; Продано в зале ; 4800 
 22 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 21 ; Продано в зале ; 76000 
 23 ; Рубль ; 1729 ;  ; Ag ; VF+ ; 31 ; Продано в зале ; 47000 
 24 ; Рубль (Петров-3р) ; 1729 ;  ; Ag ; VF+ ; 25 ; Продано в зале ; 70000 
 25 ; Рубль ; 1733 ;  ; Ag ; XF- ; 33 ; skylink ; 20402 
 26 ; Рубль ; 1733 ;  ; Ag ; XF-VF ; 25 ; Продано в зале ; 26000 
 27 ; Рубль ; 1733 ;  ; Ag ; VF+ ; 13 ; DennisG ; 12750 
 28 ; Гривна (Петров-2р) ; 1733 ;  ; Ag ; VF ; 78 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 27167 
 29 ; Рубль (Петров-4р) ; 1734 ;  ; Ag ; VF+ ; 32 ; finger ; 62000 
 30 ; Рубль ; 1734 ;  ; Ag ; VF ; 26 ; w7 ; 21422 
 31 ; Рубль ; 1737 ;  ; Ag ; VF+ ; 25 ; Продано в зале ; 10500 
 32 ; Рубль ; 1738 ; СПБ ; Ag ; VF+ ; 22 ; DennisG ; 15000 
 33 ; Рубль ; 1739 ; СПБ ; Ag ; VF-XF ; 44 ; Продано в зале ; 20000 
 34 ; Рубль ; 1739 ; СПБ ; Ag ; VF+ ; 19 ; долгово ; 31000 
 35 ; Рубль ; 1742 ; СПБ ; Ag ; VF- ; 18 ; Продано в зале ; 10500 
 36 ; Рубль ; 1742 ; СПБ ; Ag ; XF ; 32 ; Продано в зале ; 34000 
 37 ; Рубль ; 1743 ; ММД ; Ag ; VF ; 21 ; Продано в зале ; 26000 
 38 ; Гривенник ; 1746 ;  ; Ag ; VF ; 31 ; долгово ; 3468 
 39 ; Рубль ; 1747 ; СПБ ; Ag ; VF-XF ; 22 ; Продано в зале ; 18000 
 40 ; Рубль (Петров-3р, Ильин-3р) ; 1747 ; ММД ; Ag ; VF+ ; 21 ; Продано в зале ; 17000 
 41 ; Рубль ; 1750 ; СПБ ; Ag ; VF+ ; 32 ; Продано в зале ; 17000 
 42 ; Рубль ; 1750 ; СПБ ; Ag ; XF+ ; 51 ; Продано в зале ; 30000 
 43 ; Рубль ; 1750 ; СПБ ; Ag ; VF-XF ; 18 ; Продано в зале ; 20000 
 44 ; Полушка ; 1751 ; Орёл 1748 г. ; Cu ; F+ ; 15 ; derbnik ; 612 
