 73 ; 3 гроша ; 1840 ; MW Рус.-Пол. ; Cu ; XF ; 47 ; Sky2 ; 2800 
 74 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; AU/XF ; 27 ; ZOLTAN333 ; 10722 
 75 ; 5 копеек ; 1844 ; СПБ КБ ; Ag ; AU/XF ; 84 ; Участник № 1204 ; 5600 
 76 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; VF-XF ; 17 ; toto ; 1224 
 77 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; AU/XF ; 112 ; Участник № 1204 ; 3200 
 78 ; 25 копеек ; 1846 ; СПБ ПА ; Ag ; XF+ ; 21 ; СВл ; 9000 
 79 ; 25 копеек-50 грошей ; 1846 ; MW Рус.-Пол. ; Ag ; AU ; 16 ; 4758 ; 4590 
 80 ; 25 копеек-50 грошей ; 1847 ; MW Рус.-Пол. ; Ag ; XF+ ; 31 ; kol200 ; 3780 
 81 ; 25 копеек-50 грошей ; 1848 ; MW Рус.-Пол. ; Ag ; AU ; 24 ; Sc ; 9282 
 82 ; 20 копеек ; 1849 ; СПБ ПА ; Ag ; XF ; 41 ; dimon46 ; 1540 
 83 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; AU/XF ; 71 ; dima1501 ; 2042 
 84 ; 20 копеек ; 1850 ; СПБ ПА ; Ag ; XF+/XF- ; 181 ; Сыч ; 2381 
 85 ; 20 копеек-40 грошей ; 1850 ; MW Рус.-Пол. ; Ag ; XF ; 29 ; 25 ; 11459 
 86 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF+ ; 24 ; Участник № 6 ; 9000 
 87 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; AU/XF ; 105 ; Участник № 1032 ; 2200 
 88 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; AU ; 24 ; Участник № 1204 ; 2200 
 89 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; AU/XF ; 68 ; laserjet ; 1543 
 90 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; XF+ ; 9 ; Fedor_K ; 2700 
 91 ; Денежка ; 1852 ; ЕМ ; Cu ; XF ; 20 ; Участник № 9 ; 1500 
 92 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; XF+ ; 50 ; Участник № 1032 ; 1700 
 93 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF+ ; 24 ; Участник № 6 ; 8500 
 94 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 14 ; toto ; 2042 
 95 ; 10 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 32 ; 439 ; 4082 
 96 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; Unc/AU ; 22 ; Участник № 1204 ; 3200 
 97 ; 2 копейки (Ильин-2р) ; 1855 ; ВМ ; Cu ; VF-XF ; 27 ; ZOLTAN333 ; 6500 
 98 ; Денежка ; 1855 ; ВМ ; Cu ; VF+ ; 33 ; ZOLTAN333 ; 2300 
 99 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 23 ; Участник № 147 ; 18000 
 100 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU/XF ; 59 ; Участник № 147 ; 2600 
 1 ; Алтын ; 1704 ; БК ; Ag ; XF- ; 35 ; Сыч ; 8163 
 2 ; Денга ; 1704 ;  ; Cu ; F-VF ; 11 ; Участник № 66 ; 380 
 3 ; Денга ; 1704 ;  ; Cu ; F-VF ; 18 ; Участник № 523 ; 800 
 4 ; Копейка ; 1713 ; НДЗ ; Cu ; VF- ; 36 ; Участник № 222 ; 7500 
 5 ; Копейка ; 1713 ; мд з ; Cu ; VF ; 25 ; Участник № 222 ; 11500 
 6 ; Копейка (Ильин-6р) ; 1715 ; НД ; Cu ; VF ; 93 ; Участник № 9 ; 3600 
 7 ; Рубль ; 1723 ;  ; Ag ; VF ; 36 ; Сыч ; 21653 
 8 ; Рубль ; 1723 ; ОК ; Ag ; VF- ; 51 ; ФВС ; 31000 
 9 ; Рубль ; 1724 ;  ; Ag ; VF+ ; 17 ; laserjet ; 18564 
 10 ; Рубль ; 1728 ;  ; Ag ; XF- ; 28 ; Участник № 1 ; 35000 
 11 ; Денга (Петров-3р, Ильин-3р) ; 1730 ;  ; Cu ; VF ; 4 ; SSK ; 1328 
 12 ; Рубль ; 1735 ;  ; Ag ; XF+ ; 26 ; vvt ; 38000 
 13 ; Рубль ; 1737 ;  ; Ag ; XF+ ; 27 ; Участник № 584 ; 29000 
 14 ; Рубль ; 1738 ; СПБ ; Ag ; XF- ; 20 ; igorf ; 20166 
 15 ; Рубль ; 1739 ; СПБ ; Ag ; VF+/XF- ; 49 ; Глол ; 30765 
 16 ; Рубль ; 1739 ; СПБ ; Ag ; VF-XF ; 19 ; ФВС ; 15198 
 17 ; Рубль ; 1742 ; СПБ ; Ag ; VF+ ; 23 ; ФВС ; 16000 
 18 ; Гривенник ; 1747 ;  ; Ag ; VF+ ; 27 ; dimon46 ; 2023 
 19 ; Рубль ; 1751 ; СПБ ; Ag ; XF- ; 17 ; laserjet ; 15555 
 20 ; Копейка (Петров-2р, Ильин-1р). Гурт надпись ЕМ ; 1756 ;  ; Cu ; VF- ; 32 ; overshtag ; 10000 
 21 ; Рубль (Петров-5р) ; 1757 ; ММД МБ ; Ag ; XF ; 20 ; Участник № 222 ; 45000 
 22 ; 2 копейки. Двойной перечекан ; 1759 ;  ; Cu ; VF+ ; 49 ; 439 ; 3800 
 23 ; 6 грошей ; 1760? ; Для Пруссии ; Ag ; VF-XF ; 44 ; PSP ; 5099 
 24 ; 5 копеек ; 1760 ;  ; Cu ; VF+ ; 21 ; Fedor_K ; 2703 
 25 ; 5 копеек (Петров-5, Ильин-3р) ; 1760 ; ММ ; Cu ; VF- ; 38 ; Basilio ; 1700 
 26 ; 20 копеек (Петров-1р) ; 1765 ; СПБ ; Ag ; VF+ ; 37 ; АЦТЕК ; 4922 
 27 ; 5 копеек ; 1766 ; ММ ; Cu ; VF+ ; 13 ; Участник № 222 ; 2200 
 28 ; Гривенник ; 1769 ; СПБ TI ; Ag ; VF+ ; 40 ; toto ; 2111 
 29 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF ; 21 ; Участник № 132 ; 12000 
 30 ; Полушка (Петров-5р, Ильин-3р) ; 1775 ; ЕМ ; Cu ; F-VF ; 20 ; igorf ; 3210 
