 5510 ; 10 крон Швеция ; 1949 ;  ;  ;  ; 15 ; pref ; 99 
 5511 ; 10 крон Швеция ; 1950 ;  ;  ;  ; 14 ; ZIMOGOR ; 101 
 5512 ; 10 крон Швеция ; 1951 ;  ;  ;  ; 17 ; tss ; 111 
 5513 ; 10 крон Швеция ; 1952 ;  ;  ;  ; 12 ; krugerrand ; 101 
 5514 ; 20 крон Швеция ;  ;  ;  ;  ; 15 ; teso ; 169 
 5515 ; 50 крон Швеция ;  ;  ;  ;  ; 18 ; 2128508 ; 404 
 5516 ; 100 крон Швеция ;  ;  ;  ;  ; 19 ; deasd ; 808 
 5517 ; 200 крон Швеция ;  ;  ;  ;  ; 30 ; murew ; 1533 
 5518 ; 500 крон Швеция ;  ;  ;  ; AU ; 47 ; dsp ; 3913 
 5519 ; 10 крон Дания ; 1972 ;  ;  ; AU ; 10 ; Yuraha76 ; 170 
 5520 ; Лот бон Болгария 2 шт ; 1951 ;  ;  ; AU ; 26 ; DIMA 57 ; 162 
 5521 ; Бона иностранная Китай ;  ;  ;  ;  ; 40 ; dkflf ; 286 
 5522 ; Бона иностранная Япония ;  ;  ;  ;  ; 21 ; 2128508 ; 108 
 5523 ; Бона иностранная Япония ;  ;  ;  ;  ; 36 ; 2128508 ; 179 
 5524 ; 1 доллар США ; 1935 ;  ;  ;  ; 20 ; shelbyroush ; 90 
 5525 ; Бона иностранная. Индия ;  ;  ;  ;  ; 9 ; sdasda ; 30 
 5526 ; Бона иностранная. Индия ;  ;  ;  ;  ; 7 ; teso ; 30 
 5527 ; Бона иностранная. Индия ;  ;  ;  ;  ; 10 ; Rober ; 30 
 5428 ; Лот бон Италия 3 шт ;  ;  ;  ;  ; 24 ; dimon-2007 ; 148 
 5429 ; Лот бон Испания 3 шт ;  ;  ;  ;  ; 62 ; archy ; 412 
 5430 ; Лот бон Испания 3 шт ;  ;  ;  ;  ; 24 ; smel ; 276 
 5431 ; Лот бон Испания 3 шт ;  ;  ;  ;  ; 22 ; Vox ; 186 
 5432 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 18 ; =SAD= ; 152 
 5433 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 10 ; 2128508 ; 131 
 5434 ; 7 долларов Фиджи ;  ;  ;  ; AU ; 28 ; Alex255 ; 407 
 5435 ; Лот бон Монголия 5 шт ;  ;  ;  ; AU ; 30 ; wwi.i ; 181 
 5436 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 19 ; =SAD= ; 139 
 5437 ; Лот бон Испания 3 шт ; 1925-28 ;  ;  ;  ; 27 ; Мурзик ; 206 
 5438 ; Бона иностранная Сербия ;  ;  ;  ; AU ; 29 ; Yuraha76 ; 206 
 5439 ; Бона иностранная Куба ; 1960 ;  ;  ;  ; 24 ; жорик ; 104 
 5440 ; Лот бон Сирия 5 шт ;  ;  ;  ; AU ; 43 ; murew ; 682 
 5441 ; Бона иностранная Сирия ;  ;  ;  ; AU ; 22 ; sos1 ; 400 
 5442 ; Лот бон Египта 3 шт. ;  ;  ;  ;  ; 14 ; graf Giraffe ; 35 
 5443 ; Лот бон иностранных 6 шт. ;  ;  ;  ;  ; 30 ; cr3041 ; 64 
 5444 ; Лот бон Венгрии  3шт. ;  ;  ;  ;  ; 24 ; vlad77 ; 1333 
 5445 ; Лот бон Литвы 5 шт. ;  ;  ;  ;  ; 18 ; Маргаритка ; 161 
 5446 ; Лот бон России. 250,5,1 руб. (3 шт.) ;  ;  ;  ;  ; 31 ; 6x6 ; 240 
 5447 ; Лот бон Монголии 6 шт. ;  ;  ;  ;  ; 24 ; wwi.i ; 89 
 5448 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 18 ; kotik309 ; 26 
 5449 ; Бона иностранная Гвинея ;  ;  ;  ;  ; 15 ; Запруда ; 39 
 5450 ; Лот бон иностранных 4шт. ;  ;  ;  ;  ; 33 ; =SAD= ; 124 
 5451 ; 1 рупия Немецкая-Восточная-Африка ; 1916 ;  ;  ;  ; 15 ; DIMA 57 ; 306 
 5452 ; 100000 марк Либава ; 1923 ;  ;  ;  ; 57 ; vlad77 ; 3008 
 5453 ; 200000 марк Либава ; 1923 ;  ;  ;  ; 63 ; vlad77 ; 3005 
 5454 ; 1000000 марк Либава ; 1923 ;  ;  ;  ; 64 ; vlad77 ; 3005 
 5455 ; 1 миллиард Дуйсбург ; 1923 ;  ;  ;  ; 54 ; electra ; 453 
 5456 ; 20 миллионов Кёльн ; 1923 ;  ;  ;  ; 15 ; vlad77 ; 104 
 5457 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 11 ; smel ; 255 
 5458 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 55 ; Виктор Михайлович ; 264 
 5459 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 74 ; murew ; 568 
 5460 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 42 ; Виктор Михайлович ; 368 
 5461 ; Нотгельд Германия ; 1920 ;  ;  ;  ; 33 ; Ok203 ; 227 
 5462 ; Нотгельд Германия ; 1920 ;  ;  ;  ; 40 ; Ok203 ; 793 
 5463 ; Нотгельд Германия ; 1921 ;  ;  ;  ; 24 ; Ok203 ; 498 
