 41 ; Копейка ; 1613-1645 ; Михаил Федорович Московский де ;  ; F-VF ; 16 ; kenso ; 57 
 42 ; Копейка ; 1613-1645 ; Михаил Федорович Московский де ;  ; F-VF ; 19 ; kenso ; 51 
 43 ; Копейка ; 1613-1645 ; Михаил Федорович Московский де ;  ; F-VF ; 41 ; oks ; 41 
 44 ; Копейка ; 1613-1645 ; Михаил Федорович Московский де ;  ; VF- ; 50 ; zero ; 50 
 45 ; Копейка ; 1613-1645 ; Михаил Федорович Московский де ;  ; VF- ; 15 ; matrix ; 51 
 46 ; Копейка ; 1613-1645 ; Михаил Федорович Московский де ;  ; VF- ; 58 ; zero ; 127 
 47 ; Копейка ; 1613-1645 ; Михаил Федорович Московский де ;  ; VF ; 8 ; zero ; 111 
 48 ; Копейка ; 1617-1627 ; Михаил Федорович Новгород  ;  ; VF- ; 7 ; 2First ; 104 
 49 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский  ;  ; VF ; 31 ; anubis_lex ; 300 
 50 ; 5 копеек ; 1776 ; ЕМ  ; Cu ; F-VF ; 50 ; 2First ; 213 
 51 ; 5 копеек ; 1777 ; ЕМ  ; Cu ; VF+ ; 75 ; Конрос бид 32 ; 510 
 52 ; 5 копеек ; 1780 ; ЕМ  ; Cu ; VF-XF ; 32 ; skir ; 534 
