 106 ; Гривенник ; 1784 ; СПБ ; Ag ; XF/AU ; 43 ; val1972 ; 4845 
 107 ; 5 копеек ; 1784 ; КМ ; Cu ; XF+ ; 15 ; Участник № 51 ; 4200 
 108 ; 5 копеек ; 1784 ; КМ ; Cu ; VF+ ; 16 ; Участник № 66 ; 1800 
 109 ; 5 копеек ; 1785 ; ЕМ ; Cu ; VF-XF ; 9 ; SadKo ; 231 
 110 ; Рубль ; 1786 ; СПБ ЯА TI ; Ag ; VF+/XF- ; 28 ; Участник № 51 ; 16500 
 111 ; 5 копеек (Петров-9р, Ильин-10р) ; 1787 ; ТМ ; Cu ; F-VF ; 28 ; TDN ; 10302 
 112 ; 5 копеек ; 1788 ; ММ ; Cu ; VF- ; 59 ; Участник № 11 ; 3600 
 113 ; 5 копеек (Ильин-5р) ; 1788 ; ЕМ ; Cu ; F-VF ; 29 ; Участник № 9 ; 6500 
 114 ; 5 копеек ; 1789 ; ЕМ ; Cu ; VF-XF ; 7 ; Участник № 9 ; 380 
 115 ; 5 копеек ; 1789 ; КМ ; Cu ; AU/XF ; 31 ; 25 ; 9690 
 116 ; 2 копейки (Ильин-3р) ; 1790 ; АМ ; Cu ; VF- ; 40 ; Участник № 51 ; 15000 
 117 ; 5 копеек ; 1791 ; ЕМ ; Cu ; VF-XF ; 19 ; VGS ; 1000 
 118 ; 5 копеек ; 1791 ; АМ ; Cu ; VF-XF ; 24 ; Участник № 51 ; 1300 
 119 ; 5 копеек (Петров-8р, Ильин-5р) ; 1791 ; ЕМ Павл.перечекан ; Cu ; F-VF ; 48 ; Участник № 1 ; 17000 
 120 ; 15 копеек (Петров-3,5р, Ильин-3р) ; 1792 ; СПБ ; Ag ; VF ; 35 ; TDN ; 5612 
 121 ; 5 копеек ; 1792 ; АМ ; Cu ; XF+ ; 15 ; Участник № 18 ; 1500 
 122 ; 5 копеек ; 1795 ; КМ ; Cu ; VF-XF ; 24 ; aang ; 4598 
 123 ; 5 копеек ; 1795 ; АМ ; Cu ; XF ; 20 ; finger ; 4794 
 124 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 23 ; Alexdav ; 997 
 125 ; 5 копеек ; 1796 ; ЕМ ; Cu ; VF ; 15 ; Участник № 1390 ; 13000 
