 1061 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF/AU ; 23 ; Продано в зале ; 34000 
 1062 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF ; 0 ; Продано в зале ; 10000 
 1063 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF+ ; 16 ; 8128 ; 14790 
 1064 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 7 ; max96 ; 15414 
 1065 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 6 ; luda ; 9000 
 1066 ; Рубль. В капсуле NGC ; 1844 ; MW ; Ag ; XF details ; 0 ; Продано в зале ; 10000 
 1067 ; Рубль ; 1845 ; СПБ КБ ; Ag ; XF+ ; 12 ; Продано в зале ; 19000 
 1068 ; Рубль ; 1847 ; MW ; Ag ; XF+ ; 6 ; Продано в зале ; 13000 
 1069 ; Рубль. Редкий ; 1851 ; СПБ ПА ; Ag ; XF ; 5 ; Продано в зале ; 23000 
 1070 ; Рубль ; 1852 ; СПБ ПА ; Ag ; XF/AU ; 14 ; Продано в зале ; 24000 
 1071 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF+ ; 7 ; Продано в зале ; 23000 
 1072 ; Рубль ; 1855 ; СПБ HI ; Ag ; XF+ ; 6 ; ракот ; 14394 
 1073 ; Рубль ; 1858 ; СПБ ФБ ; Ag ; XF+ ; 28 ; андрей&ка ; 43860 
 1074 ; Рубль ; 1868 ; СПБ HI ; Ag ; XF+ ; 14 ; verunk1 ; 35741 
 1075 ; Рубль ; 1873 ; СПБ HI ; Ag ; XF/AU ; 11 ; Продано в зале ; 50000 
 1076 ; Рубль ; 1882 ; СПБ НФ ; Ag ; XF/AU ; 17 ; Продано в зале ; 42000 
 1077 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 11 ; Продано в зале ; 19000 
 1078 ; Рубль. В капсуле NGC ; 1888 ; (АГ) ; Ag ; AU55 ; 1 ; mac ; 50000 
 1079 ; Рубль ; 1890 ; (АГ) ; Ag ; XF ; 1 ; Продано в зале ; 78100 
 1080 ; Рубль ; 1892 ; (АГ) ; Ag ; XF/AU ; 6 ; Isay ; 44000 
 1081 ; Рубль ; 1893 ; (АГ) ; Ag ; XF+/AU ; 1 ; luda ; 50000 
 1082 ; Рубль ; 1894 ; (АГ) ; Ag ; XF/XF+ ; 10 ; max96 ; 35700 
 1083 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF/AU ; 7 ; Isay ; 31111 
 1084 ; Рубль ; 1897 ; ( ** ) ; Ag ; AU ; 23 ; Продано в зале ; 18000 
 1085 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF+ ; 20 ; Продано в зале ; 115000 
 1086 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF/XF+ ; 9 ; Mmm ; 97001 
 1087 ; Рубль ; 1898 ; (АГ) ; Ag ; XF+ ; 17 ; Продано в зале ; 19000 
 1088 ; Рубль ; 1898 ; (АГ) ; Ag ; XF- ; 8 ; Продано в зале ; 4200 
 1089 ; Рубль ; 1899 ; (ЭБ) ; Ag ; XF/XF+ ; 37 ; Продано в зале ; 22000 
